path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,49,0.175,0.4241,2.027e-05,0.1802,311800.0,0.9462,2.14
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,50,0.1948,0.3492,1.841e-05,0.1731,318100.0,0.9447,2.184
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,51,0.2109,2.087,1.661e-05,0.2028,324400.0,0.9406,2.227
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,52,0.1992,0.5793,1.49e-05,0.1999,330900.0,0.9403,2.271
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,53,0.1767,3.219,1.326e-05,0.1938,337300.0,0.9513,2.315
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,54,0.234,0.825,1.17e-05,0.2193,343600.0,0.9408,2.359
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,55,0.2043,1.258,1.022e-05,0.1838,349900.0,0.946,2.402
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,56,0.1913,0.6492,8.841e-06,0.1741,356300.0,0.9472,2.446
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,57,0.1769,0.8009,7.548e-06,0.1746,362700.0,0.9446,2.49
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,58,0.1465,0.6814,6.349e-06,0.1543,369100.0,0.9562,2.534
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,59,0.1757,0.4454,5.248e-06,0.1754,375400.0,0.9503,2.577
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,60,0.2558,1.122,4.246e-06,0.2622,381800.0,0.9342,2.621
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,61,0.1628,0.5591,3.346e-06,0.1599,388100.0,0.9497,2.665
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,62,0.177,0.5313,2.55e-06,0.1978,394500.0,0.949,2.709
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,63,0.2029,1.365,1.86e-06,0.2062,400900.0,0.9369,2.752
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,64,0.1975,1.121,1.276e-06,0.1988,407300.0,0.9465,2.796
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,65,0.1898,0.4254,8.011e-07,0.1938,413500.0,0.9485,2.84
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,66,0.1898,0.8319,4.355e-07,0.2054,419900.0,0.9362,2.884
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,67,0.1604,1.569,1.801e-07,0.1649,426400.0,0.9535,2.927
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,68,0.1747,0.7206,3.56e-08,0.1716,432700.0,0.9526,2.971
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,1,4.238,2.276,0.0001,0.9933,7067.0,0.5285,0.1001
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,2,1.425,1.331,9.971e-05,1.302,14620.0,0.7524,0.2003
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,3,0.968,1.856,9.884e-05,0.7317,22200.0,0.827,0.3004
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,4,0.925,1.795,9.74e-05,0.7041,29570.0,0.8374,0.4005
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,5,0.8735,1.035,9.541e-05,0.6986,37150.0,0.8463,0.5006
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,6,0.7552,1.6,9.289e-05,0.593,44780.0,0.8643,0.6008
finetune/logs/run_20260729_191301/C_answers.train.log,C_answers,unsuffixed,7,0.5276,1.104,8.987e-05,0.4604,52120.0,0.8939,0.7009
